Key,Recommendation,Reason,CISTicket
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\Disallowed\Certificates:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\Disallowed\CRLs:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\Disallowed\CTLs:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\DPNGRA\Certificates:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\DPNGRA\CRLs:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\DPNGRA\CTLs:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\FVE\Certificates:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\FVE\CRLs:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\FVE\CTLs:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\FVE_NKP\Certificates:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\FVE_NKP\CRLs:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\FVE_NKP\CTLs:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\Root\Certificates:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\Root\CRLs:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\Root\CTLs:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\Trust\Certificates:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\Trust\CRLs:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\Trust\CTLs:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\TrustedPeople\Certificates:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\TrustedPeople\CRLs:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\TrustedPeople\CTLs:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\TrustedPublisher\Certificates:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\TrustedPublisher\CRLs:,Ignore,This is not present in the benchmark,
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\SystemCertificates\TrustedPublisher\CTLs:,Ignore,This is not present in the benchmark,
